method,dim,seed,fval,dist_to_opt,n_eval
gradient-based,2,0,4.884065258092729,1.9589199140279547,39
gradient-free,2,0,5.425289902660779e-06,1.918095003121141e-06,40000
gradient-based,2,1,2.579927557029894,0.9521665553724502,54
gradient-free,2,1,2.669272650024368e-06,9.437220126069484e-07,40000
gradient-based,2,2,10.25797437215017,5.0730161682607,39
gradient-free,2,2,0.00015010566221107524,5.304387655003347e-05,40000
gradient-based,2,3,1.0273357275991657e-08,3.6321805207107773e-09,156
gradient-free,2,3,4.0259525217578584e-05,1.423198473380198e-05,40000
gradient-based,2,4,8.813151774047292,4.093137967182024,36
gradient-free,2,4,0.0007008288907890403,0.0002472051042821155,40000
gradient-based,5,0,1.6462236331033147,0.9175370567447982,108
gradient-free,5,0,0.0007176292693635844,0.0004002132564399842,40000
gradient-based,5,1,5.81759649750223,3.812202526471914,186
gradient-free,5,1,0.0006863253609630249,0.00038279504746066453,40000
gradient-based,5,2,6.422263885282142,4.300458350558623,132
gradient-free,5,2,0.0007765869387519331,0.00043300888870112926,40000
gradient-based,5,3,4.883799000416037,3.0964832652168157,114
gradient-free,5,3,0.0005658563425363639,0.00031572975757242086,40000
gradient-based,5,4,9.677300907242508,7.37254149995633,84
gradient-free,5,4,0.0009754380522792871,0.0005435274228891331,40000
gradient-based,10,0,2.3168487918548237,1.8908214804105852,407
gradient-free,10,0,0.001522663802507651,0.0011977315070751228,40000
gradient-based,10,1,6.056080261301158,5.660409651129517,297
gradient-free,10,1,0.002526951844977532,0.00198120479160605,40000
gradient-based,10,2,6.943985598118161,6.703070714769103,209
gradient-free,10,2,0.0013476352267431935,0.0010606625793852609,40000
gradient-based,10,3,8.735524508035297,9.042970174054357,242
gradient-free,10,3,0.0006473240109272638,0.0005106566406903706,40000
gradient-based,10,4,9.948815605544386,10.84867591071187,165
gradient-free,10,4,0.0008464587548964175,0.0006673095431803626,40000
gradient-based,20,0,8.75505725258138,12.827514269106498,336
gradient-free,20,0,0.005946121276632965,0.006521358158434409,40000
gradient-based,20,1,8.596035614227821,12.512808434634223,273
gradient-free,20,1,0.005818313139453579,0.006383751700729428,40000
gradient-based,20,2,7.692634731595378,10.803918291393344,315
gradient-free,20,2,0.007298450571902038,0.00797077884270702,40000
gradient-based,20,3,8.36681218444237,12.066702691500284,357
gradient-free,20,3,0.0062452320058064,0.006842978649986126,40000
gradient-based,20,4,10.351639798163973,16.258760275397147,315
gradient-free,20,4,0.005000921138531567,0.005501108414206556,40000
gradient-based,50,0,8.468414827626424,19.39006910302873,969
gradient-free,50,0,0.029082431865386837,0.047216773343616625,40000
gradient-based,50,1,9.2849981814003,21.99264990867135,765
gradient-free,50,1,0.037670015273835844,0.05985515856352873,40000
gradient-based,50,2,7.826934182308014,17.47140616690769,663
gradient-free,50,2,0.042233655726612085,0.0663767974687715,40000
gradient-based,50,3,6.769288548737329,14.517521418754802,1479
gradient-free,50,3,0.032314904162529245,0.05203231048927247,40000
gradient-based,50,4,8.664368541225903,19.99742309802142,816
gradient-free,50,4,0.029829867336896854,0.04833701291825226,40000
